"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"6060",51.4634802572662,-0.0396737186737492,0.13131435911135,0.38548939407317,0.647484825214948,"RNU1-4"
"11223",60.143506896844,0.0352634318699432,0.130146299516424,0.432645619321086,0.686738364569835,"MST1L"
"7193",44.4295930372924,-0.0311923214111081,0.130344729428432,0.477542722175159,0.722845391058593,"TRE-TTC3-1"
"9696",2452.5399841049,0.0384978501455168,0.077579829146048,0.433351756199931,0.68707374363558,"CROCC"
"4237",408.03123666361,0.151799628233638,0.191949141951529,0.0274411625748943,0.175286020914413,"MFAP2"
"23400",11991.1044156,-0.161567012347469,0.120868170179444,0.0154512354453786,0.12832339258144,"ATP13A2"
"6390",2435.71375346641,0.0318643066720311,0.0589723944727884,0.48089630440675,0.725265862130011,"SDHB"
"11240",132.624500512597,0.0746098059475318,0.128450160277196,0.170737834502746,0.433673531741299,"PADI2"
"55920",4964.98583837287,0.327978351969067,0.147233083730404,0.000410643776733272,0.0148751081780159,"RCC2"
"55160",1798.49447506727,-0.0476943379923674,0.0760453798023842,0.334170428022913,0.604570593128874,"ARHGEF10L"
"84966",7719.4651717551,-0.0743575617845922,0.106555591791802,0.171469389668298,0.435025247243175,"IGSF21"
"5081",42.486789487794,0.000921156081625383,0.12666812120456,0.982126623424051,0.992899596559927,"PAX7"
"8659",477.035418924195,-0.0567553896684379,0.106581568322398,0.274349945756472,0.548583824262795,"ALDH4A1"
"126917",4004.85560124701,-0.0113280661761244,0.077621401056179,0.814180079957859,0.9180466940209,"IFFO2"
"23352",13108.612686002,0.00344790532284104,0.0827007456593936,0.942911424675095,0.975947830649413,"UBR4"
"23065",6477.42111959984,-0.0304299468485934,0.0556189905615662,0.488878509881242,0.731091890866172,"EMC1"
"51154",1614.51587041936,-0.0521890431536633,0.068190379002016,0.277951996191667,0.552327636754908,"MRTO4"
"246181",34.1916856269237,0.0167372695555494,0.130432914665178,0.682972922559563,0.852627549963397,"AKR7L"
"100506730",445.776124381741,-0.00884971689379846,0.0742775975000473,0.853651241161109,0.936348676887857,"LOC100506730"
"8574",1929.5283407407,0.0172479824032565,0.080224666117764,0.721684837870851,0.871844411465216,"AKR7A2"
"54896",854.369807598789,-0.0744974024984181,0.0730922301746599,0.136038901183654,0.385620292831838,"SLC66A1"
"832",9728.22347062769,-0.0168955969263512,0.0618811094393779,0.713320191872724,0.867844830702738,"CAPZB"
"440574",1315.79921517122,-0.0555789843865089,0.0739800007733221,0.260593242682214,0.535046093721971,"MICOS10"
"644068",118.698263343098,0.0312174211732617,0.111724636608691,0.513830490606337,0.748329654146142,"RPS14P3"
"4681",377.609895258298,-0.0210375322822872,0.111133751112829,0.651692394242765,0.836131275659063,"NBL1"
"23252",1668.1307037037,0.173654534618611,0.157241569662404,0.0184570803559261,0.1405312249563,"OTUD3"
"127733",46.4530084499096,-0.0512985856087874,0.136598548471616,0.28066366887876,0.555255986371154,"UBXN10"
"127731",77.2752375565048,0.0621610849216894,0.160112640625582,0.157297815756411,0.416048879564505,"VWA5B1"
"55450",19026.0631705779,-0.031994270809252,0.0828558543237942,0.515087366445108,0.74908868289051,"CAMK2N1"
"79594",1910.75951208819,-0.0274145330952612,0.0719223514159725,0.568758251282689,0.784640416673852,"MUL1"
"163933",785.738303617908,-0.01200316131435,0.0795669025267126,0.8036100486246,0.912666290351243,"FAM43B"
"65018",4662.13937099989,-0.084084632234658,0.108985030812397,0.132032054207491,0.379831524564137,"PINK1"
"100861548",131.878960060173,-0.0372034812427093,0.110376731912871,0.44618223088489,0.697072447321426,"PINK1-AS"
"1650",6740.62894988999,-0.00924456716280013,0.0598296841379475,0.838513285112401,0.928165276519783,"DDOST"
"57576",863.723255470485,-0.0908370737213879,0.14938655181937,0.108649018435753,0.345851700410432,"KIF17"
"400745",665.375138550636,0.164923310475622,0.119868918545526,0.0136577645303988,0.118601056763781,"SH2D5"
"50809",13008.2388444272,-0.00266822599915864,0.0541523880878576,0.950882576832189,0.980700594984301,"HP1BP3"
"8672",10657.3083203372,-0.0124242871497996,0.0553765318045632,0.77676315959105,0.900592403889327,"EIF4G3"
"1889",1673.80201035794,0.0583862403268128,0.0794522126608792,0.246788649293001,0.521472473803543,"ECE1"
"84224",468.930549134282,0.00269184342629506,0.0792993758002083,0.955406519323608,0.982885879673277,"NBPF3"
"249",196.490470493013,0.0220409426441057,0.114915050258972,0.632406379144423,0.823962374233931,"ALPL"
"5909",3871.0343551999,-0.0862376860832843,0.0641826345383053,0.070449290502062,0.280899897356203,"RAP1GAP"
"84196",4930.12702039174,0.0203970209737344,0.0504579903162407,0.624478408600835,0.818894027179578,"USP48"
"3339",734.335871326462,0.130042348875209,0.129039998073039,0.0424305804826034,0.216892883241463,"HSPG2"
"29092",299.093085557882,-0.0876790967749573,0.103968613886019,0.116429744916355,0.357793057164485,"LINC00339"
"998",22355.3226415805,-0.0517398703348596,0.0725855841607376,0.29101703854828,0.565052533657244,"CDC42"
"54361",691.45170351187,-0.0909700441633504,0.147680701080338,0.10950457952546,0.347081500273403,"WNT4"
"9923",2337.41564820259,0.0556067022903613,0.0688617433624646,0.250142164825034,0.524869261164878,"ZBTB40"
"2046",636.348741098385,-0.230894364191678,0.197699488563537,0.00757038146061958,0.0863593585995947,"EPHA8"
"2048",7500.05738714046,-0.0391463714929267,0.0763876587552486,0.424752686024132,0.679577600423901,"EPHB2"
"23028",17414.2594436744,0.0340438595901588,0.0584507450719521,0.449762623385447,0.700249966246769,"KDM1A"
"7798",2010.59347488209,0.0101398675943427,0.070101185460386,0.83119607866765,0.925150747100721,"LUZP1"
"3352",116.531771407417,0.710757785875037,0.245300872568351,4.07444246469678e-06,0.000641535667663031,"HTR1D"
"100996511",63.3795855132479,0.0408081515194642,0.14843494338928,0.305066866165858,0.577645207903688,"LINC01355"
"10236",25430.6330384455,0.0750056437937066,0.0546936221455636,0.086611950339212,0.312060466508796,"HNRNPR"
"80818",5496.95092621444,-0.0809193296127432,0.0784157911802109,0.115775088992879,0.356930346021043,"ZNF436"
"148898",320.311092685501,0.0666702959261279,0.111697466413411,0.21190423168321,0.484287971181636,"ZNF436-AS1"
"6920",179.623771861712,0.00262562470842963,0.110397961450475,0.954013126487166,0.98222803585402,"TCEA3"
"55616",2434.80483807524,0.013380034933267,0.0630461592138441,0.772441635923003,0.898378092099606,"ASAP3"
"1870",362.781935656264,0.0430723222718518,0.103005237240155,0.390141784148526,0.651614626600694,"E2F2"
"3399",165.400418760806,-0.0285410723540288,0.163596171997203,0.242876795761065,0.517411052751348,"ID3"
"6135",41282.5955038088,0.0934587593754998,0.0727232163876584,0.0645059105389286,0.269991441946028,"RPL11"
"6924",4274.77526174805,0.181798685921612,0.0788094012366656,0.00112456755098343,0.0276578425220128,"ELOA"
"100506963",35.447019533343,-0.00707692766033797,0.121086299866684,0.86981790751653,0.943115781733634,"ELOA-AS1"
"57095",6352.75957813796,-0.0189503505335551,0.0587281721441096,0.673995327791622,0.84811179644857,"PITHD1"
"11313",1905.6629391177,-0.0443349898137897,0.0677525103926623,0.353720257055103,0.622607985018162,"LYPLA2"
"2582",819.334340737247,-0.178126658433156,0.133052721124404,0.0120735423493656,0.111284142957916,"GALE"
"3155",872.841930138436,0.0314093857388289,0.0873133943030598,0.523313590855021,0.75470500241032,"HMGCL"
"2517",1126.17403886143,-0.101771867015643,0.104590677578992,0.0767783404541635,0.293746391221553,"FUCA1"
"55629",4350.35875949953,0.160891148266927,0.0875983254213883,0.00554900276749774,0.0720662578809464,"PNRC2"
"10772",5330.72807184171,0.119218658639987,0.102544566608628,0.0430531293800914,0.218600546882359,"SRSF10"
"90529",1334.58569532801,-0.0958462130125484,0.112494643938501,0.0965796177830679,0.327282117240026,"STPG1"
"57185",2905.94675159089,-0.0769593787112533,0.0754723631257682,0.128454055398948,0.375100576714971,"NIPAL3"
"11123",484.104766540914,0.070380859453639,0.119642889588104,0.192182038679045,0.461893987633501,"RCAN3"
"100506985",108.794046856289,0.0479385125427975,0.118711143885922,0.335857137212115,0.605756501728936,"NCMAP-DT"
"10250",4508.45003296222,0.251534110680414,0.13148314569251,0.00147948885362739,0.0325125658438146,"SRRM1"
